;titles;years;category
331;Stereogan: Bridging synthetic-to-real domain gap by joint optimization of domain translation and stereo matching; 2020 ;Image Translation
332;Detecting text based image with optical character recognition for English translation and speech using Android; 2015 ;Image Translation
333;German translation and psychometric evaluation of the Body Appreciation Scale; 2008 ;Image Translation
334;Systematic evaluation of machine translation methods for image and video annotation; 2005 ;Image Translation
335;Combined blur, translation, scale and rotation invariant image recognition by Radon and pseudo-Fourier–Mellin transforms; 2012 ;Image Translation
336;[HTML] Improving unsupervised stain-to-stain translation using self-supervision and meta-learning; 2022 ;Image Translation
337;Deep translation prior: Test-time training for photorealistic style transfer; 2022 ;Image Translation
338;Endogenous convolutional sparse representations for translation invariant image subspace models; 2014 ;Image Translation
339;The role of the translation table in cardiac image display; 2006 ;Image Translation
340;Sign Language Translation; 2020 ;Image Translation
341;Sign language production using neural machine translation and generative adversarial networks; 2018 ;Image Translation
342;Reciprocal translation between SAR and optical remote sensing images with cascaded-residual adversarial networks; 2021 ;Image Translation
343;Painting completion with generative translation models; 2020 ;Image Translation
344;[HTML] Real-time imaging of translation on single mRNA transcripts in live cells; 2016 ;Image Translation
345;Memory-efficient GAN-based domain translation of high resolution 3D medical images; 2020 ;Image Translation
346;A novel approach to image roto-translation estimation; 2007 ;Image Translation
347;Affinity-guided image-to-image translation for unsupervised heterogeneous change detection;MA Hansen ;Image Translation
348;Translation and scale invariants of Krawtchouk moments; 2018 ;Image Translation
349;Composable unpaired image to image translation; 2018 ;Image Translation
350;Neural human video rendering by learning dynamic textures and rendering-to-video translation; 2020 ;Image Translation
351;[PDF] Multimodal Image Translation with Stochastic Style Representations and Mutual Information Loss.; 2020 ;Image Translation
352;Novel methodology for Kannada Braille to speech translation using image processing on FPGA; 2014 ;Image Translation
353;Towards cross-modal organ translation and segmentation: A cycle-and shape-consistent generative adversarial network; 2019 ;Image Translation
354;Image analysis using mathematical morphology; 1987 ;Image Translation
355;A deep translation (GAN) based change detection network for optical and SAR remote sensing images; 2021 ;Image Translation
356;A universal music translation network; 2018 ;Image Translation
357;SHIFT: speedy histopathological-to-immunofluorescent translation of whole slide images using conditional generative adversarial networks; 2018 ;Image Translation
358;VISOR: A fast image processing pipeline with scaling and translation invariance for test oracle automation of visual output systems; 2018 ;Image Translation
359;Quantification of immunohistochemical staining by color translation and automated thresholding.; 1997 ;Image Translation
360;[CITATION] The Translation Invariant Wavelet-based Contourlet Transform for Image Denoising.; 2012 ;Image Translation
361;Efficient subpixel image registration algorithms; 2008 ;Image Translation
362;Fast translation invariant multiscale image denoising; 2015 ;Image Translation
363;[HTML] Image-aided suicide gene therapy utilizing multifunctional hTERT-targeting adenovirus for clinical translation in hepatocellular carcinoma; 2016 ;Image Translation
364;Positron emission tomography of 64Cu-DOTA-Rituximab in a transgenic mouse model expressing human CD20 for clinical translation to image NHL; 2012 ;Image Translation
365;Image coding using translation invariant wavelet transforms with symmetric extensions; 1998 ;Image Translation
366;Adversarial evaluation of multimodal machine translation; 2018 ;Image Translation
367;[HTML] Translation as image-making: Elizabeth I's translation of Boethius's Consolation of Philosophy; 2001 ;Image Translation
368;Watermarking resistance to translation, rotation, and scaling; 1999 ;Image Translation
369;Rotation, scaling, translation invariant image watermarking based on radon transform; 2004 ;Image Translation
370;Automated tactile graphics translation: in the field; 2007 ;Image Translation
371;Bimorph‐driven x–y–z translation stage for scanned image microscopy; 1987 ;Image Translation
372;A correlation-based approach to calculate rotation and translation of moving cells; 2006 ;Image Translation
373;Image indexing using translation and scale-invariant moments and wavelets; 1997 ;Image Translation
374;Image reconstruction by phase retrieval with transverse translation diversity; 2008 ;Image Translation
375;[PDF] Paratextual elements in translation: paratranslating titles in children's literature; 2012 ;Image Translation
376;Nir to rgb domain translation using asymmetric cycle generative adversarial networks; 2019 ;Image Translation
377;Universal face photo-sketch style transfer via multiview domain translation; 2020 ;Image Translation
378;Catenary image enhancement using wavelet-based contourlet transform with cycle translation; 2014 ;Image Translation
379;Rotation, scale and translation invariant image watermarking using Radon transform and Fourier transform; 2004 ;Image Translation
380;Latent variable model for multi-modal translation; 2018 ;Image Translation
381;Auto-image and norms in source-initiated translation in China; 2015 ;Image Translation
382;[HTML] projection-to-projection translation for Hybrid X-ray and Magnetic Resonance imaging; 2019 ;Image Translation
383;Unsupervised MR to CT Image Translation Exploiting Multi-scale and Contextual Cues; 2022 ;Image Translation
384;[PDF] Word–image interaction in technical translation: Students translating an illustrated text;A Ketola ;Image Translation
385;Invariant image recognition by Zernike moments; 1990 ;Image Translation
386;Pix2pix-based stain-to-stain translation: A solution for robust stain normalization in histopathology images analysis; 2020 ;Image Translation
387;Multi‐pathway multi‐echo acquisition and neural contrast translation to generate a variety of quantitative and qualitative image contrasts; 2020 ;Image Translation
388;Stride and translation invariance in CNNs; 2021 ;Image Translation
389;[PDF] Adaptive Image Translation for Painterly Rendering.; 2005 ;Image Translation
390;Rotation and translation covariant match kernels for image retrieval; 2015 ;Image Translation
391;[HTML] Interactive echocardiography translation using few-shot GAN transfer learning; 2020 ;Image Translation
392;Supervised translation-invariant sparse coding; 2010 ;Image Translation
393;Transposing meaning: translation in a multimodal semiotic landscape; 2019 ;Image Translation
394;Learning style translation for the lines of a drawing; 2003 ;Image Translation
395;[PDF] Translation diaries of an illustrated technical text: Translation students' conceptions of word-image interaction;A Ketola ;Image Translation
396;Rotation and translation invariant color image retrieval; 2002 ;Image Translation
397;Globally optimal stitching of tiled 3D microscopic image acquisitions; 2009 ;Image Translation
398;Locally adaptive learning for translation-variant MRF image priors; 2008 ;Image Translation
399;DeepTaste: Augmented reality gustatory manipulation with GAN-based real-time food-to-food translation; 2019 ;Image Translation
400;Caption and query translation for cross-language image retrieval; 2004 ;Image Translation
401;Imagination improves multimodal translation; 2017 ;Image Translation
402;Aggregation via separation: Boosting facial landmark detector with semi-supervised style translation; 2019 ;Image Translation
403;Rotation-, scale-, and translation-invariant image watermark using higher order spectra; 2003 ;Image Translation
404;[PDF] English to Hindi multi modal image caption translation; 2020 ;Image Translation
405;Translation by text categorisation: Medical image retrieval in ImageCLEFmed 2006; 2006 ;Image Translation
406;[PDF] I. TRANSLATION STUDIES;N KURAN ;Image Translation
407;Multimodal machine translation with reinforcement learning; 2018 ;Image Translation
408;Visualization of single endogenous polysomes reveals the dynamics of translation in live human cells; 2016 ;Image Translation
409;Translation camera; 1998 ;Image Translation
410;[HTML] A rotation and translation invariant method for 3D organ image classification using deep convolutional neural networks; 2019 ;Image Translation
411;[PDF] An image processing technique for the translation of asl finger-spelling to digital audio or text; 2005 ;Image Translation
412;Rotation-, translation-, and scaling-invariant color image indexing; 1998 ;Image Translation
413;Computer visualization of three-dimensional image data using IMOD; 1996 ;Image Translation
414;Three-dimensional structural translation and rotation measurement using monocular videogrammetry; 2010 ;Image Translation
415;Audiovisual translation comes of age; 2008 ;Image Translation
416;Cardiac point-of-care to cart-based ultrasound translation using constrained CycleGAN; 2020 ;Image Translation
417;[PDF] Image-driven interpretations in professional communicative mediation: Bringing translation and psychotherapy together; 2021 ;Image Translation
418;[PDF] Binary translation; 1993 ;Image Translation
419;Image denoising based on iterative generalized cross-validation and fast translation invariant; 2015 ;Image Translation
420;Creating an Image of Europe for China: Aleni's Hsi-Fang Ta-Wen 西方答罔: Introduction, Translation, and Notes; 1964 ;Image Translation
421;[PDF] Text analysis and information retrieval of historical tamil ancient documents using machine translation in image zoning; 2016 ;Image Translation
422;Comparison of interpolating methods for image resampling; 1983 ;Image Translation
423;Deep roto-translation scattering for object classification; 2015 ;Image Translation
424;[PDF] Listening to Images: Audio Description, the Translation Overlay, and Image Retrieval; 2015 ;Image Translation
425;GPU accelerated real time rotation, scale and translation invariant image registration method; 2012 ;Image Translation
426;Correction of pseudoscoliosis (lateral thoracic translation posture) for the treatment of low back pain: a CBP® case report; 2018 ;Image Translation
427;Audio-visual speech translation with automatic lip syncqronization and face tracking based on 3-d head model; 2002 ;Image Translation
428;Kalman filter-based algorithms for estimating depth from image sequences; 1989 ;Image Translation
429;Image authentication resilient to translation, rotation and scaling; 2006 ;Image Translation
430;Word and Image in Search of Each Other: Intersemiotic Translation of Narratives from an Intercultural Perspective; 2015 ;Image Translation
431;[PDF] Image to text translation: A review; A Kouzani ;Image Translation
432;A review of bandlet methods for geometrical image representation; 2007 ;Image Translation
433;Cognitive approach to metaphor translation in literary discourse; 2014 ;Image Translation
434;Face-to-parameter translation for game character auto-creation; 2019 ;Image Translation
435;High-resolution image synthesis and semantic manipulation with conditional gans; 2018 ;Image Translation
436;Gesture-to-gesture translation in the wild via category-independent conditional maps; 2019 ;Image Translation
437;A comparative study on performance of SVM and CNN in Tanzania sign language translation using image recognition; 2022 ;Image Translation
438;Mri cross-modality neuroimage-to-neuroimage translation; 2018 ;Image Translation
439;Carigans: Unpaired photo-to-caricature translation; 2018 ;Image Translation
440;Imitation from observation: Learning to imitate behaviors from raw video via context translation; 2018 ;Image Translation
441;Echocardiography segmentation by quality translation using anatomically constrained cyclegan; 2019 ;Image Translation
442;Findings of the third shared task on multimodal machine translation; 2018 ;Image Translation
443;[HTML] Learning translations via images with a massively multilingual image dataset; 2018 ;Image Translation
444;A Dutch translation and validation of the Body Appreciation Scale-2: An investigation with female university students in the Netherlands; 2016 ;Image Translation
445;GAN-based synthetic medical image augmentation for increased CNN performance in liver lesion classification; 2018 ;Image Translation
446;[HTML] Multimodal neural machine translation for low-resource language pairs using synthetic data; 2018 ;Image Translation
447;Cascade attention guided residue learning gan for cross-modal translation; 2021 ;Image Translation
448;Translating images: the impact of the image on the translation of Disney's Alice in Wonderland into Spanish; 2011 ;Image Translation
449;Multi-modal neural machine translation with deep semantic interactions; 2021 ;Image Translation
450;Translation and validation of a Brazilian Portuguese version of the Body Appreciation Scale-2 in Brazilian adults; 2019 ;Image Translation
451;Double-gabor filters are independent components of small translation-invariant image patches; 2013 ;Image Translation
452;Automatic elastic image registration by interpolation of 3D rotations and translations from discrete rigid-body transformations; 2006 ;Image Translation
453;Detection of rotation and parallel translation using Hough and Fourier transforms; 1996 ;Image Translation
454;[PDF] Translation of Sign Language Finger-Spelling to Text using Image Processing; 2013 ;Image Translation
455;At the crossroads of translation studies and imagology; 1998 ;Image Translation
456;Harmonic networks: Deep translation and rotation equivariance; 2017 ;Image Translation
457;Translation and psychometric evaluation of a Standard Chinese version of the Body Appreciation Scale-2; 2016 ;Image Translation
458;Multimodal transformer for multimodal machine translation; 2020 ;Image Translation
459;Development of localized oriented receptive fields by learning a translation-invariant code for natural images; 1998 ;Image Translation
460;Quantifying translation-invariance in convolutional neural networks; 2017 ;Image Translation
461;Rotation-, scaling-, and translation-robust image watermarking using Gabor kernels; 2002 ;Image Translation
462;[PDF] Cartoon-to-Photo Facial Translation with Generative Adversarial Networks.; 2018 ;Image Translation
463;Doubly-attentive decoder for multi-modal neural machine translation; 2017 ;Image Translation
464;Rotation-, scale-, and translation-resilient public watermarking for images; 2000 ;Image Translation
465;Translation and validation of an Italian version of the Body Appreciation Scale-2; 2021 ;Image Translation
466;[HTML] Introduction: Multimodality as challenge and resource for translation; 2013 ;Image Translation
467;[HTML] A survey on image data augmentation for deep learning; 2019 ;Image Translation
468;On translation invariance in cnns: Convolutional layers can exploit absolute spatial location; 2020 ;Image Translation
469;Digital hologram transformations for RGB color holographic display with independent image magnification and translation in 3D; 2018 ;Image Translation
470;"Alhacen on Image-Formation and Distortion in Mirrors: A Critical Edition, with English Translation and Commentary, of Book 6 of Alhacen's"" De Aspectibus"", the …"; 2008 ;Image Translation
471;Subunity coordinate translation with Fourier transform to achieve efficient and quality three‐dimensional medical image interpolation; 1999 ;Image Translation
472;[PDF] Un exemple de semi-conjugaison entre un échange d'intervalles et une translation sur le tore; 1988 ;Image Translation
473;All about structure: Adapting structural information across domains for boosting semantic segmentation; 2019 ;Image Translation
474;Shef-multimodal: Grounding machine translation on images; 2016 ;Image Translation
475;[PDF] Structured-Image Retrieval invariant to rotation, scaling and translation; 2009 ;Image Translation
476;A statistics-based approach to binary image registration with uncertainty analysis; 2006 ;Image Translation
477;[PDF] Creating full view panoramic image mosaics and environment maps; 1997 ;Image Translation
478;Document Segmentation and Language Translation Using Tesseract-OCR; 2018 ;Image Translation
479;Deep learning-based frozen section to FFPE translation; 2021 ;Image Translation
480;New complete orthonormal sets of exponential‐type orbitals and their application to translation of Slater orbitals; 2002 ;Image Translation
481;Challenges for machine learning in clinical translation of big data imaging studies; 2022 ;Image Translation
482;A fast correlation method for scale-and translation-invariant pattern recognition; 1984 ;Image Translation
483;Nonrigid motion correction in 3D using autofocusing withlocalized linear translations; 2012 ;Image Translation
484;Surgical data science–from concepts toward clinical translation; 2022 ;Image Translation
485;Zero-resource neural machine translation with multi-agent communication game; 2018 ;Image Translation
486;Postcolonial tendencies in translation in the light of centre-periphery pre-conceptual image schema; 2016 ;Image Translation
487;Preserving semantic and temporal consistency for unpaired video-to-video translation; 2019 ;Image Translation
488;[LIVRE] Morphological image analysis: principles and applications;P Soille ;Image Translation
489;[PDF] Sheffield multimt: Using object posterior predictions for multimodal machine translation; 2017 ;Image Translation
490;[PDF] An example-based approach to style translation for line drawings; 1999 ;Image Translation
491;Osu multimodal machine translation system report; 2017 ;Image Translation
492;Robust rotation and translation estimation in multiview reconstruction; 2007 ;Image Translation
493;Factor structure and psychometric properties of a Romanian translation of the Body Appreciation Scale-2; 2017 ;Image Translation
494;Translation symmetry detection in a fronto-parallel view; 2011 ;Image Translation
495;The UOB-telecom Paristech Arabic handwriting recognition and translation systems for the openhart 2013 competition; 2013 ;Image Translation
496;[HTML] 3DFaceGAN: adversarial nets for 3D face representation, generation, and translation; 2020 ;Image Translation
497;[HTML] Supervised visual attention for multimodal neural machine translation; 2020 ;Image Translation
498;Global optimization point‐set registration based on translation/rotation decoupling for image‐guided surgery applications; 2022 ;Image Translation
499;Depth map prediction from a single image using a multi-scale deep network; 2014 ;Image Translation
0;[LIVRE] Introduction au deep learning;E Charniak ;Deep Learning
1;Deep learning; 2015 ;Deep Learning
2;[PDF] Deep learning; 2020 ;Deep Learning
3;[LIVRE] Deep learning; A Courville ;Deep Learning
4;[LIVRE] Deep learning;JD Kelleher ;Deep Learning
5;Deep learning for health informatics; 2016 ;Deep Learning
6;[PDF] Deep learning; 2015 ;Deep Learning
7;A review of machine learning and deep learning applications; 2018 ;Deep Learning
8;Deep learning; 2016 ;Deep Learning
9;[LIVRE] Deep learning; A Courville ;Deep Learning
10;Deep learning; 2016 ;Deep Learning
11;[HTML] Deep learning; 2015 ;Deep Learning
12;[PDF] Deep learning; 2018 ;Deep Learning
13;[PDF] Deep learning; 2015 ;Deep Learning
14;[LIVRE] Deep learning with PyTorch; T Viehmann ;Deep Learning
15;[HTML] Machine learning and deep learning; 2021 ;Deep Learning
16;Deep learning; 2012 ;Deep Learning
17;Deep learning: methods and applications; 2014 ;Deep Learning
18;Matlab deep learning; 2017 ;Deep Learning
19;[LIVRE] The deep learning revolution;TJ Sejnowski ;Deep Learning
20;[LIVRE] Fundamentals of deep learning; J Papa ;Deep Learning
21;Teaching for deep learning; 2007 ;Deep Learning
22;Deep belief networks and deep learning; 2015 ;Deep Learning
23;[LIVRE] Deep learning with Keras; S Pal ;Deep Learning
24;On optimization methods for deep learning; 2011 ;Deep Learning
25;Deep learning in bioinformatics; 2017 ;Deep Learning
26;Deep learning in chemistry; 2019 ;Deep Learning
27;[LIVRE] Deep Learning for Coders with fastai and PyTorch; S Gugger ;Deep Learning
28;An introduction to deep learning; 2012 ;Deep Learning
29;Multimodal deep learning; 2011 ;Deep Learning
30;Computational linguistics and deep learning; 2015 ;Deep Learning
31;[LIVRE] Neural networks and deep learning;MA Nielsen ;Deep Learning
32;Deep learning in biomedicine; 2018 ;Deep Learning
33;[LIVRE] Deep learning with Python;F Chollet ;Deep Learning
34;On the origin of deep learning; 2017 ;Deep Learning
35;[PDF] Deep learning;IFJ PAN ;Deep Learning
36;[HTML] Deep Learning applications for COVID-19; 2021 ;Deep Learning
37;Deep learning in fluid dynamics; 2017 ;Deep Learning
38;[LIVRE] Deep learning in natural language processing; Y Liu ;Deep Learning
39;Deep learning methods and applications; 2019 ;Deep Learning
40;Online deep learning: Learning deep neural networks on the fly; 2017 ;Deep Learning
41;[LIVRE] Advances in deep learning; AI Khan ;Deep Learning
42;An introduction to deep learning; 2011 ;Deep Learning
43;Deep learning for computational biology; 2016 ;Deep Learning
44;Overview of deep learning; 2016 ;Deep Learning
45;Deep learning for computational chemistry; 2017 ;Deep Learning
46;Deep learning for biology.; 2018 ;Deep Learning
47;Privacy-preserving deep learning; 2015 ;Deep Learning
48;Generalization in deep learning; 2017 ;Deep Learning
49;Learning to reweight examples for robust deep learning; 2018 ;Deep Learning
50;[HTML] Recent advances in deep learning; 2020 ;Deep Learning
51;Deep learning for denoisingDeep learning for denoising; 2019 ;Deep Learning
52;Deep learning and education for sustainability; 2003 ;Deep Learning
53;[HTML] Deep learning in medical image analysis; 2017 ;Deep Learning
54;Neural networks and deep learning; 2018 ;Deep Learning
55;Deep learning in drug discovery; 2016 ;Deep Learning
56;Deep learning microscopy; 2017 ;Deep Learning
57;Deep learning for finance: deep portfolios; 2017 ;Deep Learning
58;Manifold learning of brain MRIs by deep learning; 2013 ;Deep Learning
59;Deep-learning tomography; 2018 ;Deep Learning
60;[LIVRE] Deep learning for medical image analysis; D Shen ;Deep Learning
61;[LIVRE] Deep learning: A practitioner's approach; A Gibson ;Deep Learning
62;Statistical mechanics of deep learning; 2020 ;Deep Learning
63;A survey of deep learning and its applications: a new paradigm to machine learning; 2020 ;Deep Learning
64;[PDF] Deep learning with H2O; 2016 ;Deep Learning
65;Deep learning in radiology; 2018 ;Deep Learning
66;Deep learning in neuroradiology; 2018 ;Deep Learning
67;Kernel methods for deep learning; 2009 ;Deep Learning
68;Challenges in deep learning; A Sperduti ;Deep Learning
69;A deep learning framework for neuroscience; 2019 ;Deep Learning
70;Deep learning in agriculture: A survey; 2018 ;Deep Learning
71;[HTML] Neural network models and deep learning; 2019 ;Deep Learning
72;[PDF] Unsupervised feature learning and deep learning: A review and new perspectives; 2012 ;Deep Learning
73;Applications of deep learning and reinforcement learning to biological data; 2018 ;Deep Learning
74;[HTML] Deep learning and its applications in biomedicine; 2018 ;Deep Learning
75;Deep learning for AI; 2021 ;Deep Learning
76;Machine learning and deep learning methods for cybersecurity; 2018 ;Deep Learning
77;Deep learning: a review; R Ruiz ;Deep Learning
78;Predicting parameters in deep learning; 2013 ;Deep Learning
79;Quantum deep learning; 2014 ;Deep Learning
80;What are the limits of deep learning?; 2019 ;Deep Learning
81;A study of BFLOAT16 for deep learning training; 2019 ;Deep Learning
82;Deep learning-based channel estimation; 2019 ;Deep Learning
83;Deep learning in ultrasound imaging; 2019 ;Deep Learning
84;A primer on deep learning in genomics; 2019 ;Deep Learning
85;A deep learning approach to network intrusion detection; 2018 ;Deep Learning
86;Artificial intelligence, machine learning and deep learning; 2017 ;Deep Learning
87;On definition of deep learning; 2018 ;Deep Learning
88;Deep learning of representations for unsupervised and transfer learning; 2012 ;Deep Learning
89;A survey on deep learning and its applications; 2021 ;Deep Learning
90;Deep learning for time-series analysis; 2017 ;Deep Learning
91;Applied Deep Learning; 2018 ;Deep Learning
92;The case for Bayesian deep learning; 2020 ;Deep Learning
93;Deep learning: a primer for radiologists; 2017 ;Deep Learning
94;On deep learning-based channel decoding; 2017 ;Deep Learning
95;The computational limits of deep learning; 2020 ;Deep Learning
96;Overview of the TREC 2019 deep learning track; 2020 ;Deep Learning
97;[HTML] Democratising deep learning for microscopy with ZeroCostDL4Mic; 2021 ;Deep Learning
98;Applications of deep learning in biomedicine; 2016 ;Deep Learning
99;[PDF] Deep learning on 3D point clouds; 2020 ;Deep Learning
100;Applications for deep learning in ecology; 2019 ;Deep Learning
101;[CITATION] Deep learning tutorial; 2013 ;Deep Learning
102;Deep learning for wireless communications; 2020 ;Deep Learning
103;Deep learning on graphs: A survey; 2020 ;Deep Learning
104;[HTML] Deep learning for computer vision: A brief review; 2018 ;Deep Learning
105;A guide to deep learning in healthcare; 2019 ;Deep Learning
106;Deep learning: a statistical viewpoint; 2021 ;Deep Learning
107;A review of deep learning research; 2019 ;Deep Learning
108;Deep learning on image denoising: An overview; 2020 ;Deep Learning
109;1.1 deep learning hardware: Past, present, and future; 2019 ;Deep Learning
110;Deep learning in cardiology; 2018 ;Deep Learning
111;Deep learning in neural networks: An overview; 2015 ;Deep Learning
112;[HTML] Book review: Deep learning; 2016 ;Deep Learning
113;Deep learning for audio signal processing; 2019 ;Deep Learning
114;Deep learning applications in medical image analysis; 2017 ;Deep Learning
115;Hands deep in deep learning for hand pose estimation; 2015 ;Deep Learning
116;[LIVRE] Synthetic data for deep learning;SI Nikolenko ;Deep Learning
117;Deep learning: A critical appraisal; 2018 ;Deep Learning
118;Deep learning in spiking neural networks; 2019 ;Deep Learning
119;Deep reinforcement learning; 2021 ;Deep Learning
120;Design of virtual learning environments for deep learning; 2007 ;Deep Learning
121;[LIVRE] Deep learning with Python; E Santana ;Deep Learning
122;[HTML] Introduction to machine learning, neural networks, and deep learning; 2020 ;Deep Learning
123;Identity matters in deep learning; 2016 ;Deep Learning
124;Deep learning in asset pricing; 2019 ;Deep Learning
125;Unsupervised and transfer learning challenge: a deep learning approach; 2012 ;Deep Learning
126;Deep learning in medical image analysis; 2020 ;Deep Learning
127;Deep learning with edge computing: A review; 2019 ;Deep Learning
128;[HTML] Deep learning computed tomography; 2016 ;Deep Learning
129;Deep learning in finance; 2016 ;Deep Learning
130;Accelerating 3d deep learning with pytorch3d; 2020 ;Deep Learning
131;Deep learning with differential privacy; 2016 ;Deep Learning
132;Mathematics of deep learning; 2017 ;Deep Learning
133;To understand deep learning we need to understand kernel learning; 2018 ;Deep Learning
134;[HTML] Deep learning methods in protein structure prediction; 2020 ;Deep Learning
135;Exploring generalization in deep learning; 2017 ;Deep Learning
136;Big data deep learning: challenges and perspectives; 2014 ;Deep Learning
137;[CITATION] Explainable deep learning: A field guide for the uninitiated; D Doran ;Deep Learning
138;Application of deep learning in food: a review; 2019 ;Deep Learning
139;Deep learning for identifying metastatic breast cancer; 2016 ;Deep Learning
140;[HTML] Deep learning applications and challenges in big data analytics; 2015 ;Deep Learning
141;[LIVRE] Deep learning for vision systems;M Elgendy ;Deep Learning
142;Deep learning vs. traditional computer vision; 2019 ;Deep Learning
143;A survey on deep learning: Algorithms, techniques, and applications; 2018 ;Deep Learning
144;Dive into deep learning; 2021 ;Deep Learning
145;Deep learning for the internet of things; 2018 ;Deep Learning
146;[PDF] A deep learning approach for network intrusion detection system; 2016 ;Deep Learning
147;[HTML] Ian goodfellow, yoshua bengio, and aaron courville: Deep learning;J Heaton ;Deep Learning
148;Deep learning for visual understanding: A review; 2016 ;Deep Learning
149;[HTML] DeepTox: toxicity prediction using deep learning; 2016 ;Deep Learning
150;Deep learning for sentiment analysis: A survey; 2018 ;Deep Learning
151;Wide & deep learning for recommender systems; 2016 ;Deep Learning
152;A call for deep-learning healthcare; 2019 ;Deep Learning
153;[HTML] Deep learning for neuroimaging: a validation study; 2014 ;Deep Learning
154;Deep learning for smart manufacturing: Methods and applications; 2018 ;Deep Learning
155;Ensemble deep learning in bioinformatics; 2020 ;Deep Learning
156;[PDF] Deep learning for time series modeling; 2012 ;Deep Learning
157;Simulated annealing algorithm for deep learning; 2015 ;Deep Learning
158;Deep learning for cellular image analysis; 2019 ;Deep Learning
159;Deep learning of feature representation with multiple instance learning for medical image analysis; 2014 ;Deep Learning
160;A survey on deep learning in medicine: Why, how and when?; 2021 ;Deep Learning
161;Deep learning for music; 2016 ;Deep Learning
162;De novo peptide sequencing by deep learning; 2017 ;Deep Learning
163;Implicit deep learning; 2021 ;Deep Learning
164;A review of unsupervised feature learning and deep learning for time-series modeling; 2014 ;Deep Learning
165;Deep learning for 3d point clouds: A survey; 2020 ;Deep Learning
166;SINGA: A distributed deep learning platform; 2015 ;Deep Learning
167;Model-based deep learning; 2020 ;Deep Learning
168;Time-series forecasting with deep learning: a survey; 2021 ;Deep Learning
169;CNTK: Microsoft's open-source deep-learning toolkit; 2016 ;Deep Learning
170;[HTML] Deep-learning-based ghost imaging; 2017 ;Deep Learning
171;Review on the research and practice of deep learning and reinforcement learning in smart grids; 2018 ;Deep Learning
172;An introduction to deep learning for the physical layer; 2017 ;Deep Learning
173;Schnet–a deep learning architecture for molecules and materials; 2018 ;Deep Learning
174;cudnn: Efficient primitives for deep learning; 2014 ;Deep Learning
175;[HTML] A selective overview of deep learning; 2021 ;Deep Learning
176;Deep learning of vortex-induced vibrations; 2019 ;Deep Learning
177;Deep learning for hyperspectral image classification: An overview; 2019 ;Deep Learning
178;Vuldeepecker: A deep learning-based system for vulnerability detection; 2018 ;Deep Learning
179;Gene expression inference with deep learning; 2016 ;Deep Learning
180;Hashnet: Deep learning to hash by continuation; 2017 ;Deep Learning
181;Deep learning for PET image reconstruction; 2020 ;Deep Learning
182;Ensemble deep learning: A review; 2021 ;Deep Learning
183;[HTML] The rise of deep learning in drug discovery; 2018 ;Deep Learning
184;[PDF] Deep learning using support vector machines; 2013 ;Deep Learning
185;Deep learning and its applications to machine health monitoring; 2019 ;Deep Learning
186;[CITATION] Theano: Deep learning on gpus with python; 2011 ;Deep Learning
187;Learning to decode linear codes using deep learning; 2016 ;Deep Learning
188;Deep learning for biometrics: A survey; 2018 ;Deep Learning
189;Deep learning and medical diagnosis: A review of literature; 2018 ;Deep Learning
190;[LIVRE] Deep learning: fundamentals, theory and applications; R Zhang ;Deep Learning
191;Machine learning and deep learning methods for intrusion detection systems: A survey; 2019 ;Deep Learning
192;Deep learning for stock market prediction; 2020 ;Deep Learning
193;Review of deep learning algorithms and architectures; 2019 ;Deep Learning
194;Deep learning for anomaly detection: A review; 2021 ;Deep Learning
195;An empirical evaluation of deep learning on highway driving; 2015 ;Deep Learning
196;Deep learning for time series classification: a review; 2019 ;Deep Learning
197;Deep learning for video game playing; 2019 ;Deep Learning
198;[CITATION] Deep learning: Engage the world change the world; J McEachen ;Deep Learning
199;Can deep learning revolutionize mobile sensing?; 2015 ;Deep Learning
200;A survey on deep learning for big data; 2018 ;Deep Learning
201;The present and future of deep learning in radiology; 2019 ;Deep Learning
202;[HTML] An overview on data representation learning: From traditional feature learning to recent deep learning; 2016 ;Deep Learning
203;Application of deep learning methods in biological networks; 2021 ;Deep Learning
204;Overview of deep learning in medical imaging; 2017 ;Deep Learning
205;Local differential privacy for deep learning; 2019 ;Deep Learning
206;[LIVRE] Python machine learning: Machine learning and deep learning with Python, scikit-learn, and TensorFlow 2; V Mirjalili ;Deep Learning
207;[PDF] Measuring Calibration in Deep Learning.; 2019 ;Deep Learning
208;Deep learning for medical image segmentation; 2015 ;Deep Learning
209;[HTML] Improving palliative care with deep learning; 2018 ;Deep Learning
210;Toward deep learning software repositories; 2015 ;Deep Learning
211;Deep learning from crowds; 2018 ;Deep Learning
212;[HTML] Deep learning in mining biological data; 2021 ;Deep Learning
213;[HTML] NiftyNet: a deep-learning platform for medical imaging; 2018 ;Deep Learning
214;On the use of deep learning for computational imaging; 2019 ;Deep Learning
215;Object detection with deep learning: A review; 2019 ;Deep Learning
216;Bayesian compression for deep learning; 2017 ;Deep Learning
217;An exponential learning rate schedule for deep learning; 2019 ;Deep Learning
218;Artificial intelligence and deep learning in ophthalmology; 2019 ;Deep Learning
219;Fastai: a layered API for deep learning; 2020 ;Deep Learning
220;The principles of deep learning theory; 2021 ;Deep Learning
221;How to scale distributed deep learning?; 2016 ;Deep Learning
222;Formative assessment: a key to deep learning?; 2005 ;Deep Learning
223;Collaborative deep learning for recommender systems; 2015 ;Deep Learning
224;Deep learning and the Schrödinger equation; 2017 ;Deep Learning
